/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:32Z","tsi":1535940032,"spd":4.55,"hdg":168,"lat":60.196493,"long":24.962429,"acc":0.36,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:33Z","tsi":1535940033,"spd":5.01,"hdg":167,"lat":60.196449,"long":24.962448,"acc":0.46,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:34Z","tsi":1535940034,"spd":4.67,"hdg":167,"lat":60.196408,"long":24.962466,"acc":-0.34,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:35Z","tsi":1535940035,"spd":5.47,"hdg":168,"lat":60.196359,"long":24.962484,"acc":0.81,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:36Z","tsi":1535940036,"spd":5.40,"hdg":168,"lat":60.196312,"long":24.962509,"acc":-0.08,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:37Z","tsi":1535940037,"spd":6.24,"hdg":169,"lat":60.196258,"long":24.962533,"acc":0.84,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:38Z","tsi":1535940038,"spd":7.64,"hdg":169,"lat":60.196190,"long":24.962562,"acc":1.41,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:39Z","tsi":1535940039,"spd":6.11,"hdg":169,"lat":60.196136,"long":24.962582,"acc":-1.53,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:40Z","tsi":1535940040,"spd":6.94,"hdg":169,"lat":60.196075,"long":24.962606,"acc":0.82,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/3/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:42Z","tsi":1535940042,"spd":6.88,"hdg":169,"lat":60.195953,"long":24.962654,"acc":-0.13,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:41Z","tsi":1535940041,"spd":7.01,"hdg":169,"lat":60.196013,"long":24.962630,"acc":0.07,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:43Z","tsi":1535940043,"spd":6.35,"hdg":168,"lat":60.195897,"long":24.962682,"acc":-0.53,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:44Z","tsi":1535940044,"spd":6.97,"hdg":168,"lat":60.195836,"long":24.962713,"acc":0.62,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:45Z","tsi":1535940045,"spd":8.67,"hdg":168,"lat":60.195760,"long":24.962746,"acc":1.69,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:46Z","tsi":1535940046,"spd":10.99,"hdg":167,"lat":60.195665,"long":24.962798,"acc":2.33,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:47Z","tsi":1535940047,"spd":8.72,"hdg":167,"lat":60.195589,"long":24.962837,"acc":-2.27,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:48Z","tsi":1535940048,"spd":8.38,"hdg":167,"lat":60.195516,"long":24.962874,"acc":-0.35,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:49Z","tsi":1535940049,"spd":8.48,"hdg":167,"lat":60.195441,"long":24.962906,"acc":0.10,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:50Z","tsi":1535940050,"spd":8.10,"hdg":167,"lat":60.195370,"long":24.962942,"acc":-0.38,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

