/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:20Z","tsi":1535955740,"spd":1.88,"hdg":308,"lat":60.183651,"long":24.923917,"acc":0.04,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/4/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:21Z","tsi":1535955741,"spd":2.06,"hdg":316,"lat":60.183666,"long":24.923895,"acc":0.18,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:22Z","tsi":1535955742,"spd":1.75,"hdg":319,"lat":60.183680,"long":24.923878,"acc":-0.32,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:23Z","tsi":1535955743,"spd":1.86,"hdg":305,"lat":60.183685,"long":24.923846,"acc":0.12,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:24Z","tsi":1535955744,"spd":1.42,"hdg":304,"lat":60.183693,"long":24.923827,"acc":-0.44,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:25Z","tsi":1535955745,"spd":1.00,"hdg":295,"lat":60.183693,"long":24.923808,"acc":-0.42,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

